date,Open,Low,High,Close,date1
2016-07-01,114.55,113.81,115.13,114.01,2016-07-01
2016-07-05,113.49,112.97,114.24,113.4,2016-07-05
2016-07-06,113.1959,112.97,116.86,115.848,2016-07-06
2016-07-08,116.7222,115.8,117.5,117.024,2016-07-08
2016-07-12,117.89,117.57,118.72,117.91799999999999,2016-07-12
2016-07-13,117.0623,116.6,118.42,117.0,2016-07-13
2016-07-15,116.89,116.39,118.28,116.87,2016-07-15
2016-07-18,118.295,116.5,119.65,118.97,2016-07-18
2016-07-22,120.79,119.25,121.4,119.75,2016-07-22
2016-07-25,120.66,117.78,121.86,121.29,2016-07-25
2016-07-26,122.03,120.7,122.54,121.22,2016-07-26
2016-07-27,122.74,120.0,133.91,122.03,2016-07-27
2016-07-28,129.32,123.63,130.59,125.27,2016-07-28
2016-07-29,124.94,123.5,126.0,125.39,2016-07-29
2016-08-01,124.7,122.86,124.7,124.1365,2016-08-01
2016-08-02,122.63,122.07,124.8,122.49600000000001,2016-08-02
2016-08-03,122.685,122.31,123.92,122.48,2016-08-03
2016-08-05,125.14,124.6,125.835,125.55,2016-08-05
2016-08-08,125.55,124.55,125.7,125.025,2016-08-08
2016-08-09,125.721,124.53,126.09,125.8601,2016-08-09
2016-08-15,124.0298,123.7,125.32,123.85,2016-08-15
2016-08-16,123.6,122.78,123.92,123.52,2016-08-16
2016-08-18,124.155,123.64,124.43,123.91,2016-08-18
2016-08-22,124.54,123.11,124.83,123.86,2016-08-22
2016-08-23,124.76,124.25,125.09,124.61,2016-08-23
2016-08-25,124.145,123.1,124.37,124.05,2016-08-25
2016-08-26,124.93,123.68,125.19,124.38,2016-08-26
2016-08-29,126.3,124.35,126.73,125.7735,2016-08-29
2016-09-02,126.85,126.0,126.86,126.46,2016-09-02
2016-09-06,126.7,126.38,129.94,128.7735,2016-09-06
2016-09-07,130.34,129.45,131.98,130.98,2016-09-07
2016-09-08,130.28,129.81,131.23,130.19,2016-09-08
