date,Open,Low,High,Close,Volume,PE,date1,Returns,day,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2014-07-22,69.87,68.61,69.95,69.145,38733989.0,115.24166666666666,2014-07-22,0.013113553113553111,Tuesday,2014,65.03920952380956,115.62065078456747,14.457768263051648,1.0091466949855161,0.01115327331004412,0.6129594981366148,0
2014-07-24,76.35,74.51,78.44,75.31,118279432.0,125.51666666666668,2014-07-24,0.08916045990310217,Thursday,2014,65.72397142857146,116.30541268932937,15.142530167813547,3.5301158836503355,0.021501021316325142,0.7182547129789517,0
2014-08-05,72.65,72.18,73.99,73.33,34002279.0,122.21666666666667,2014-08-05,-0.026291329172752675,Tuesday,2014,66.22444761904765,116.80588887980556,15.643006358289739,3.6165644542853896,0.019364074680832323,0.7946135330248156,0
2014-08-06,73.37,71.79,73.72,72.54,29978445.0,120.90000000000002,2014-08-06,-0.010773216964407362,Wednesday,2014,66.68111428571432,117.26255554647223,16.099673024956402,2.9505931607052815,0.01762791767742138,0.8307618361310904,0
2014-08-08,73.34,72.3,73.43,73.0,26008804.0,121.66666666666667,2014-08-08,0.006341328921974032,Friday,2014,67.11159047619051,117.69303173694843,16.5301492154326,2.233634929884683,0.014310159160293856,0.8104709864978024,0
2014-08-12,72.3499,72.22,73.67,72.27,26370548.0,120.45,2014-08-12,-0.010000000000000009,Tuesday,2014,67.55016190476194,118.13160316551985,16.968720644004023,1.2009371340753234,0.009687448537583233,0.7180891593781524,0
2014-08-18,74.52,73.8,74.72,74.1,22843200.0,123.5,2014-08-18,0.025321710253217056,Monday,2014,68.10373333333337,118.68517459409128,17.522292072575453,0.716219240177901,-0.0030803013923937916,0.7325412001911148,0
2014-08-19,75.37,74.75,75.58,75.49,25650172.0,125.81666666666666,2014-08-19,0.018758434547908154,Tuesday,2014,68.70135238095241,119.28279364171033,18.1199111201945,1.3231213096315415,0.005929651351738374,0.7980797283696769,0
2014-08-20,74.88,74.62,75.37,74.71,22068993.0,124.51666666666667,2014-08-20,-0.010332494370115297,Wednesday,2014,69.16658571428574,119.74802697504366,18.585144453527832,1.2932633142562875,0.006017795870596787,0.8329103560583107,0
2014-08-21,74.72,74.4149,75.19,74.53,19322757.0,124.21666666666667,2014-08-21,-0.002409316021951491,Thursday,2014,69.6440523809524,120.22549364171032,19.06261112019449,1.2006248373248032,0.0042676668818116825,0.8313053090693046,0
2014-08-27,74.65,74.46,76.28,74.55,34314050.0,124.25,2014-08-27,0.00026834831611433074,Wednesday,2014,70.13357619047622,120.71501745123413,19.552134929718306,0.5081141604022544,0.006321336545034551,0.7917928216033687,0
2014-09-04,76.535,75.47,76.93,76.59,25097474.0,127.65,2014-09-04,0.027364185110664074,Thursday,2014,70.71310000000001,121.29454126075792,20.1316587392421,0.8837873047296959,0.006729831516523954,0.7898295550366001,0
2014-09-05,77.23,75.598,77.38,76.07,28087939.0,126.78333333333333,2014-09-05,-0.006789398093746013,Friday,2014,71.23500476190478,121.81644602266269,20.653563501146863,0.9695359714839863,0.0016202649881931208,0.823653809737473,0
2014-09-08,77.39,77.01,78.17,77.921,26904209.0,129.86833333333334,2014-09-08,0.024332851321151816,Monday,2014,71.89124285714287,122.47268411790078,21.309801596384958,1.4390671283861258,0.008553334126446543,0.8858027249754828,0
2014-09-09,77.525,76.2,78.17,76.46,27600836.0,127.43333333333332,2014-09-09,-0.01874975937167145,Tuesday,2014,72.32552857142859,122.9069698321865,21.74408731067068,1.2094507844478606,0.005285245456502552,0.8806777465098078,0
